Week,Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,,,,,Overview,Lecture,Lab,Reading
Week 17,Lab 17,27/02/2024,09:30am,27/02/2024,12:00 am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab17,Usual Lab,,,,,,,,
Week 17,Reading 17,27/02/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw17,,,,,,,,,
Week 18,Week 18 overview,04/03/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week18,,,,,,,,,
Week 18,Lecture 18,04/03/2024,10:00am,04/03/2024,11:30am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture18,IGLT,,,,,,,,
Week 18,Lab 18,05/03/2024,09:30am,05/03/2024,12:00 am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab18,Usual Lab,,,,,,,,
Week 18,Reading 18,05/03/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw18,,,,,,,,,
Week 19,Week 19 overview,11/03/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week19,,,,,,,,,
Week 19,Lecture 19,11/03/2024,10:00am,11/03/2024,11:30am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture19,IGLT,,,,,,,,
Week 19,Lab 19,12/03/2024,09:30am,12/03/2024,12:00 am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab19,Usual Lab,,,,,,,,
Week 19,Reading 19,12/03/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw19,,,,,,,,,
Week 20,Week 20 overview,18/03/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week20,,,,,,,,,
Week 20,Lecture 20,18/03/2024,10:00am,18/03/2024,11:30am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture20,IGLT,,,,,,,,
Week 20,Lab 20,19/03/2024,09:30am,19/03/2024,12:00 am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab20,Usual Lab,,,,,,,,
Week 20,Reading 20,19/03/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw20,,,,,,,,,
